antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,Segment
frozenset({'Milk'}),frozenset({'Bread'}),0.34101382488479265,0.41589861751152074,0.1728110599078341,0.5067567567567567,1.2184622295425618,0.030983881585933015,1.1842055425793825,0.27207459207459206,Regular Shoppers
frozenset({'Bread'}),frozenset({'Milk'}),0.41589861751152074,0.34101382488479265,0.1728110599078341,0.4155124653739612,1.2184622295425618,0.030983881585933015,1.127459759320331,0.306955950032873,Regular Shoppers
frozenset({'Tea'}),frozenset({'Bread'}),0.30184331797235026,0.41589861751152074,0.18778801843317972,0.6221374045801525,1.4958871666913363,0.06225179978338888,1.5458036587068842,0.47482232885865266,Regular Shoppers
frozenset({'Bread'}),frozenset({'Tea'}),0.41589861751152074,0.30184331797235026,0.18778801843317972,0.45152354570637115,1.4958871666913365,0.06225179978338888,1.272901829353442,0.5675391149671468,Regular Shoppers
"frozenset({'Milk', 'Tea'})",frozenset({'Bread'}),0.09216589861751152,0.41589861751152074,0.06682027649769585,0.725,1.743213296398892,0.028488606680965832,2.1240050272308335,0.46963066690005256,Regular Shoppers
"frozenset({'Milk', 'Bread'})",frozenset({'Tea'}),0.1728110599078341,0.30184331797235026,0.06682027649769585,0.38666666666666666,1.2810178117048345,0.014658412792796616,1.1382989380885593,0.2652002689463067,Regular Shoppers
"frozenset({'Tea', 'Bread'})",frozenset({'Milk'}),0.18778801843317972,0.34101382488479265,0.06682027649769585,0.3558282208588957,1.0434422152213563,0.0027819660642612876,1.0229975861312264,0.0512594766446563,Regular Shoppers
frozenset({'Milk'}),"frozenset({'Tea', 'Bread'})",0.34101382488479265,0.18778801843317972,0.06682027649769585,0.19594594594594594,1.0434422152213563,0.0027819660642612876,1.0101459938814235,0.06317820110923549,Regular Shoppers
frozenset({'Tea'}),"frozenset({'Milk', 'Bread'})",0.30184331797235026,0.1728110599078341,0.06682027649769585,0.2213740458015267,1.2810178117048345,0.014658412792796616,1.0623701093340563,0.3142141800386935,Regular Shoppers
frozenset({'Bread'}),"frozenset({'Milk', 'Tea'})",0.41589861751152074,0.09216589861751152,0.06682027649769585,0.16066481994459833,1.7432132963988918,0.028488606680965832,1.0816109260695654,0.7299190641365707,Regular Shoppers
